# port-tasks.tsv — dart-sass to ssg-sass porting task registry
# id	file	method_or_range	dart_ref_file	dart_ref_start	dart_ref_end	spec_subdir	spec_delta_floor	loc_cap	status	assignee	baseline_pass	baseline_methods	baseline_loc	blocker	notes	last_updated
T011	ssg-sass/src/main/scala/ssg/sass/Deprecation.scala	full-module-port	original-src/dart-sass/lib/src/deprecation.dart	1	243	spec	0	400	pending	unassigned						
T012	ssg-sass/src/main/scala/ssg/sass/InterpolationMap.scala	full-module-port	original-src/dart-sass/lib/src/interpolation_map.dart	1	221	spec	0	400	pending	unassigned						
B001	ssg-sass/src/main/scala/ssg/sass/parse/StylesheetParser.scala	escape-sequence-decoding	original-src/dart-sass/lib/src/parse/parser.dart	1	100	core_functions/string	5	200	pending	unassigned					String literal escapes (\e000, \0308, etc.) should decode to codepoints at parse time, not survive as literal backslash sequences. Affects length/index/insert/slice tests with combining_character and private_use_character cases.	2026-04-08
B002	ssg-sass/src/main/scala/ssg/sass/visitor/SerializeVisitor.scala	charset-emission	original-src/dart-sass/lib/src/visitor/serialize.dart	150	200	core_functions/string	5	100	pending	unassigned					"When the output contains non-ASCII characters, prepend `@charset \""UTF-8\"";\\n`. Affects ~8 string tests plus many color/calc tests."	2026-04-08
B003	ssg-sass/src/main/scala/ssg/sass/visitor/SerializeVisitor.scala	single-element-bracketed-list-format	original-src/dart-sass/lib/src/visitor/serialize.dart	450	520	core_functions/string	3	100	pending	unassigned					Single-element bracketed comma list `[a,]` is rendered as `[(a,)]` (extra parens). Fix the writeList path that handles separator+brackets+single-element.	2026-04-08
B004	ssg-sass/src/main/scala/ssg/sass/visitor/EvaluateVisitor.scala	argument-arity-validation	original-src/dart-sass/lib/src/visitor/evaluate.dart	2300	2450	core_functions/string	13	150	pending	unassigned					BuiltInCallable invocations don't validate argument arity or unknown named arguments. error/too_many_args and error/wrong_name tests across all built-in modules.	2026-04-08
B005	ssg-sass/src/main/scala/ssg/sass/value/SassString.scala	escape-rendering-trailing-space	original-src/dart-sass/lib/src/value/string.dart	130	180	core_functions/string	2	60	pending	unassigned					toCssString hex escape \\hh needs trailing space when followed by hex-looking char. Currently emits \\0 where dart-sass emits \\0_(space).	2026-04-08
B006	ssg-sass/src/main/scala/ssg/sass/value/SassList.scala	separator-name-rendering	original-src/dart-sass/lib/src/value/list.dart	100	150	core_functions/string	2	60	pending	unassigned					list-separator() returns the wrong value for empty lists — should be 'comma' but emits 'separator(...)' debug form.	2026-04-08
B007	ssg-sass/src/main/scala/ssg/sass/parse/StylesheetParser.scala	quote-flip-inline-string	original-src/dart-sass/lib/src/parse/parser.dart	100	200	core_functions/string	2	100	pending	unassigned					Quoted strings containing both quote types should flip to the other quote. Currently produces malformed output for `quote_unquoted_quote/double` and similar.	2026-04-08
B008	ssg-sass/src/main/scala/ssg/sass/value/SassList.scala	single-element-comma-list-rendering	original-src/dart-sass/lib/src/value/list.dart	100	200	core_functions/map	2	60	pending	unassigned					Single-element non-bracketed comma list `(1,)` should render as `1` (no parens, no trailing comma) when written via toCssString. Currently always emits `(N,)` for single-element comma lists. Affects keys.hrx!single, values.hrx!single, and similar list-from-map cases. Surfaced during T003 sass:map port.	2026-04-08
B009	ssg-sass/src/main/scala/ssg/sass/visitor/SerializeVisitor.scala	non-finite-calc-wrapping	original-src/dart-sass/lib/src/visitor/serialize.dart	400	500	core_functions/math	60	150	pending	unassigned					Serialize non-finite SassNumbers (Infinity, -Infinity, NaN) as `calc(infinity)`, `calc(-infinity)`, `calc(NaN)`. For NaN with a unit, wrap as `calc(NaN * 1<unit>)`. Currently emits the raw Double.toString form. Affects ~60 cases in core_functions/math (pow, sqrt, log, sin, cos, tan, asin, acos, hypot) plus values/calculation paths. Surfaced during T004 sass:math port.	2026-04-08
B010	ssg-sass/src/main/scala/ssg/sass/ast/selector/PseudoSelector.scala	selector-pseudo-is-superselector	original-src/dart-sass/lib/src/extend/functions.dart	200	400	core_functions/selector	200	300	pending	unassigned					Port the full `_selectorPseudoIsSuperselector` algorithm from dart-sass extend/functions.dart: when comparing two pseudo selectors of the same name (`:is`, `:not`, `:has`, `:matches`, `:current`), their inner selector lists must be compared under the correct containment rules (positive pseudos use list-superselector, `:not` inverts it). ssg-sass currently returns false for all mismatched pseudo-name cases to avoid infinite recursion. Affects ~200 cases in core_functions/selector/is_superselector. Surfaced during T006 sass:selector port.	2026-04-08
